CODIGO_CATEGORIA|NOMBRE_CATEGORIA|CODIGO_AGRUPACION|NOMBRE_AGRUPACION|CODIGO_LISTA|NOMBRE_LISTA
001002118000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Tres de Febrero|02-816|PARTIDO DIGNIDAD POPULAR|001002118000000.02-816.1A.001002118000000.02-816|POR LA VIDA - Martin Martinez
001002118000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Tres de Febrero|02-816|PARTIDO DIGNIDAD POPULAR|001002118000000.02-816.3C.001002118000000.02-816|ACCIÓN VECINAL - Diego Castro
001002118000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Tres de Febrero|02-1911|FRENTE NOS|001002118000000.02-1911.B.001002118000000.02-1911|ALTERNATIVA - Ernesto Arienzo
001002118000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Tres de Febrero|02-1911|FRENTE NOS|001002118000000.02-1911.A.001002118000000.02-1911|LINEA ÚNICA - Eliza Camacho
001002118000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Tres de Febrero|133|FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD|001002118000000.133.A.001002118000000.133|UNIDAD - Facundo Pilarche
001002118000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Tres de Febrero|137|CONSENSO FEDERAL|001002118000000.137.A.001002118000000.137|HAY CONSENSO - Juan Zaragoza
001002118000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Tres de Febrero|137|CONSENSO FEDERAL|001002118000000.137.B.001002118000000.137|HAY ALTERNATIVA - Pablo Jofre
001002118000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Tres de Febrero|02-276|MOVIMIENTO DE AVANZADA SOCIALISTA|001002118000000.02-276.1A.001002118000000.02-276|UNIDAD DE LA IZQUIERDA - Laura Sanabria
001002118000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Tres de Febrero|02-309|MOVIMIENTO ORGANIZACION DEMOCRATICA|001002118000000.02-309.A.001002118000000.02-309|AZUL Y BLANCO - Carlos Barreto
001002119000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido La Costa|135|JUNTOS POR EL CAMBIO|001002119000000.135.1A.001002119000000.135|1A - AMARILLO - Flavia Delmonte
001002119000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido La Costa|02-503|FRENTE DE TODOS|001002119000000.02-503.2.001002119000000.02-503|CELESTE Y BLANCA - 2 - Cristian Cardozo
001002119000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido La Costa|02-816|PARTIDO DIGNIDAD POPULAR|001002119000000.02-816.1A.001002119000000.02-816|POR LA VIDA - Pablo Podesta
001002119000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido La Costa|02-873|A TODA COSTA|001002119000000.02-873.A.001002119000000.02-873|TRABAJO, SALUD Y EDUCACION - Evangelina Cordone
001002119000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido La Costa|133|FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD|001002119000000.133.A.001002119000000.133|UNIDAD - Miguel Arena
001002119000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido La Costa|137|CONSENSO FEDERAL|001002119000000.137.A.001002119000000.137|HAY CONSENSO - Carlos Gonzalez
001002119000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido La Costa|137|CONSENSO FEDERAL|001002119000000.137.B.001002119000000.137|CONSENSO FEDERAL 2030 - Danilo Palacios
001002119000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido La Costa|02-276|MOVIMIENTO DE AVANZADA SOCIALISTA|001002119000000.02-276.1A.001002119000000.02-276|UNIDAD DE LA IZQUIERDA - Gabriel Sepulveda
001002120000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido de Monte Hermoso|135|JUNTOS POR EL CAMBIO|001002120000000.135.1A.001002120000000.135|1A - AMARILLO - Victorio Dupuy
001002120000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido de Monte Hermoso|02-503|FRENTE DE TODOS|001002120000000.02-503.2.001002120000000.02-503|CELESTE Y BLANCA - 2 - Enrique Dichiara
001002120000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido de Monte Hermoso|137|CONSENSO FEDERAL|001002120000000.137.A.001002120000000.137|HAY CONSENSO - Maria Amarillo
001002121000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido 25 de Mayo|135|JUNTOS POR EL CAMBIO|001002121000000.135.1A.001002121000000.135|1A - AMARILLO - Martin Torre
001002121000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido 25 de Mayo|135|JUNTOS POR EL CAMBIO|001002121000000.135.4A.001002121000000.135|4A - FUCCIA - Alberto Larrañaga
001002121000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido 25 de Mayo|02-503|FRENTE DE TODOS|001002121000000.02-503.2.001002121000000.02-503|CELESTE Y BLANCA - 2 - Hernán Ralinqueo
001002121000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido 25 de Mayo|133|FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD|001002121000000.133.A.001002121000000.133|UNIDAD - Juan Gonzalez
001002121000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido 25 de Mayo|137|CONSENSO FEDERAL|001002121000000.137.A.001002121000000.137|HAY CONSENSO - Juan Sambuceti
001002122000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Vicente Lopez|135|JUNTOS POR EL CAMBIO|001002122000000.135.1A.001002122000000.135|1A - AMARILLO - Jorge Macri
001002122000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Vicente Lopez|02-503|FRENTE DE TODOS|001002122000000.02-503.4.001002122000000.02-503|CELESTE Y BLANCA - 4 - Beccaria Lorenzo
001002122000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Vicente Lopez|02-816|PARTIDO DIGNIDAD POPULAR|001002122000000.02-816.1A.001002122000000.02-816|POR LA VIDA - Carlos Estevez
001002122000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Vicente Lopez|02-207|PARTIDO HUMANISTA|001002122000000.02-207.A.001002122000000.02-207|NARANJA - Daniel Ferreyra
001002122000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Vicente Lopez|02-1911|FRENTE NOS|001002122000000.02-1911.A.001002122000000.02-1911|LINEA ÚNICA - Arnaldo Bresciani
001002122000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Vicente Lopez|133|FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD|001002122000000.133.A.001002122000000.133|UNIDAD - Guido Vidal
001002122000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Vicente Lopez|137|CONSENSO FEDERAL|001002122000000.137.C.001002122000000.137|HAY ALTERNATIVA - Andres Montone
001002122000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Vicente Lopez|137|CONSENSO FEDERAL|001002122000000.137.A.001002122000000.137|HAY CONSENSO - Marta Tello
001002122000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Vicente Lopez|137|CONSENSO FEDERAL|001002122000000.137.B.001002122000000.137|SOCIALISTAS - Carlos Roberto
001002122000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Vicente Lopez|79|PARTIDO RENOVADOR FEDERAL|001002122000000.79.A.001002122000000.79|SOMOS RENOVADORES - Mariano Merzario
001002122000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Vicente Lopez|02-276|MOVIMIENTO DE AVANZADA SOCIALISTA|001002122000000.02-276.1A.001002122000000.02-276|UNIDAD DE LA IZQUIERDA - Lucia Camara
001002123000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Villa Gesell|135|JUNTOS POR EL CAMBIO|001002123000000.135.1A.001002123000000.135|1A - AMARILLO - Hector Baldo
001002123000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Villa Gesell|135|JUNTOS POR EL CAMBIO|001002123000000.135.2A.001002123000000.135|2A - AMARILLO - Hernan Luna
001002123000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Villa Gesell|135|JUNTOS POR EL CAMBIO|001002123000000.135.3A.001002123000000.135|3A - ROJO - Claudia Cima
001002123000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Villa Gesell|02-503|FRENTE DE TODOS|001002123000000.02-503.2.001002123000000.02-503|CELESTE Y BLANCA - 2 - Gustavo Barrera
001002123000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Villa Gesell|133|FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD|001002123000000.133.A.001002123000000.133|UNIDAD - Giuliana Paluci
001002123000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Villa Gesell|137|CONSENSO FEDERAL|001002123000000.137.A.001002123000000.137|HAY CONSENSO - Miguel Cisneros
001002123000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Villa Gesell|02-856|ACTITUD POSITIVA|001002123000000.02-856.A.001002123000000.02-856|VOTA EN POSITIVO - Marcelo Freitas
001002124000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Villarino|135|JUNTOS POR EL CAMBIO|001002124000000.135.1A.001002124000000.135|1A - AMARILLO - Mauro Chiarellotto
001002124000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Villarino|02-503|FRENTE DE TODOS|001002124000000.02-503.2.001002124000000.02-503|CELESTE Y BLANCA - 2 - Patricia Cobello
001002124000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Villarino|02-852|INTEGRACION VECINALISTA DE VILLARINO|001002124000000.02-852.A.001002124000000.02-852|TODOS POR VILLARINO - Juan Vidal
001002124000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Villarino|02-697|ACCION POR VILLARINO|001002124000000.02-697.A.001002124000000.02-697|LISTA UNICA - Carlos Bevilacqua
001002125000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Zarate|135|JUNTOS POR EL CAMBIO|001002125000000.135.3A.001002125000000.135|3A - ROJO - Sandra Paris
001002125000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Zarate|135|JUNTOS POR EL CAMBIO|001002125000000.135.1A.001002125000000.135|1A - AMARILLO - Julian Guelvenzu
001002125000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Zarate|02-503|FRENTE DE TODOS|001002125000000.02-503.2.001002125000000.02-503|CELESTE Y BLANCA - 2 - Osvaldo Caffaro
001002125000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Zarate|02-503|FRENTE DE TODOS|001002125000000.02-503.12.001002125000000.02-503|CELESTE Y BLANCA - 12 - Edda Acuña
001002125000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Zarate|02-816|PARTIDO DIGNIDAD POPULAR|001002125000000.02-816.1A.001002125000000.02-816|POR LA VIDA - Guillermo Sokol
001002125000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Zarate|02-1911|FRENTE NOS|001002125000000.02-1911.A.001002125000000.02-1911|LINEA ÚNICA - Fernando Parente
001002125000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Zarate|133|FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD|001002125000000.133.A.001002125000000.133|UNIDAD - Sergio Bonuccelli
001002125000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Zarate|137|CONSENSO FEDERAL|001002125000000.137.A.001002125000000.137|GENTE PROGRESISTA - Jorge Blanco
001002125000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Zarate|137|CONSENSO FEDERAL|001002125000000.137.B.001002125000000.137|HAY ALTERNATIVA - Oscar Da Costa
001002126000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Tres Lomas|135|JUNTOS POR EL CAMBIO|001002126000000.135.1A.001002126000000.135|1A - AMARILLO - Luciano Spinolo
001002126000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Tres Lomas|02-503|FRENTE DE TODOS|001002126000000.02-503.2.001002126000000.02-503|CELESTE Y BLANCA - 2 - Roberto Alvarez
001002127000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Ameghino|135|JUNTOS POR EL CAMBIO|001002127000000.135.1A.001002127000000.135|1A - AMARILLO - Calixto Tellechea
001002127000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Ameghino|02-503|FRENTE DE TODOS|001002127000000.02-503.2.001002127000000.02-503|CELESTE Y BLANCA - 2 - Patricio Garcia
001002128000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Pte. Peron|135|JUNTOS POR EL CAMBIO|001002128000000.135.1A.001002128000000.135|1A - AMARILLO - Guido Giana
001002128000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Pte. Peron|02-503|FRENTE DE TODOS|001002128000000.02-503.4.001002128000000.02-503|CELESTE Y BLANCA - 4 - Blanca Cantero
001002128000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Pte. Peron|02-503|FRENTE DE TODOS|001002128000000.02-503.14.001002128000000.02-503|CELESTE Y BLANCA - 14 - Ariel Frete
001002128000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Pte. Peron|02-503|FRENTE DE TODOS|001002128000000.02-503.2.001002128000000.02-503|CELESTE Y BLANCA - 2 - Alfonso Regueiro
001002128000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Pte. Peron|02-816|PARTIDO DIGNIDAD POPULAR|001002128000000.02-816.1A.001002128000000.02-816|POR LA VIDA - Claudio Lagana
001002128000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Pte. Peron|02-207|PARTIDO HUMANISTA|001002128000000.02-207.A.001002128000000.02-207|NARANJA - Julieta Rodriguez
001002128000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Pte. Peron|133|FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD|001002128000000.133.A.001002128000000.133|UNIDAD - Marcelo Gomez
001002128000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Pte. Peron|137|CONSENSO FEDERAL|001002128000000.137.A.001002128000000.137|HAY CONSENSO - Malco Muller
001002128000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Pte. Peron|02-850|AGRUPACION COMPROMISO VECINAL|001002128000000.02-850.A.001002128000000.02-850|TODOS SOMOS GUERNICA - LINEA 392 - Victor Rengifo
001002128000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Pte. Peron|02-276|MOVIMIENTO DE AVANZADA SOCIALISTA|001002128000000.02-276.1A.001002128000000.02-276|UNIDAD DE LA IZQUIERDA - Ramon Coronel
001002128000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Pte. Peron|02-877|BASE CIUDADANA|001002128000000.02-877.A.001002128000000.02-877|CELESTE Y BLANCA - LINEA 22 - Manuel Tofanelli
001002128000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Pte. Peron|02-309|MOVIMIENTO ORGANIZACION DEMOCRATICA|001002128000000.02-309.A.001002128000000.02-309|AZUL Y BLANCO - Lidia Leiva
001002129000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido J.C. Paz|135|JUNTOS POR EL CAMBIO|001002129000000.135.1A.001002129000000.135|1A - AMARILLO - Ezequiel Pazos
001002129000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido J.C. Paz|02-503|FRENTE DE TODOS|001002129000000.02-503.2.001002129000000.02-503|CELESTE Y BLANCA - 2 - Mario Ishii
001002129000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido J.C. Paz|02-816|PARTIDO DIGNIDAD POPULAR|001002129000000.02-816.2B.001002129000000.02-816|LIBERACION NACIONAL - Laura Bareiro
001002129000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido J.C. Paz|02-816|PARTIDO DIGNIDAD POPULAR|001002129000000.02-816.1A.001002129000000.02-816|POR LA VIDA - Carlos Duarte
001002129000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido J.C. Paz|02-1911|FRENTE NOS|001002129000000.02-1911.A.001002129000000.02-1911|LINEA ÚNICA - Diego Bosch
001002129000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido J.C. Paz|133|FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD|001002129000000.133.A.001002129000000.133|UNIDAD - Sandra Becerra
001002129000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido J.C. Paz|137|CONSENSO FEDERAL|001002129000000.137.C.001002129000000.137|GENTE PROGRESISTA - Ruben Maglio
001002129000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido J.C. Paz|137|CONSENSO FEDERAL|001002129000000.137.B.001002129000000.137|CONSENSO FEDERAL 2030 - Cristian Leiva
001002129000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido J.C. Paz|137|CONSENSO FEDERAL|001002129000000.137.A.001002129000000.137|HAY CONSENSO - Andrea Nuñez
001002129000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido J.C. Paz|02-276|MOVIMIENTO DE AVANZADA SOCIALISTA|001002129000000.02-276.1A.001002129000000.02-276|UNIDAD DE LA IZQUIERDA - Laura Slepeki
001002130000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Malvinas Argentinas|135|JUNTOS POR EL CAMBIO|001002130000000.135.1A.001002130000000.135|1A - AMARILLO - Jesus Cariglino
001002130000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Malvinas Argentinas|02-503|FRENTE DE TODOS|001002130000000.02-503.2.001002130000000.02-503|CELESTE Y BLANCA - 2 - Nardini Leo
001002130000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Malvinas Argentinas|02-816|PARTIDO DIGNIDAD POPULAR|001002130000000.02-816.1A.001002130000000.02-816|POR LA VIDA - Leandro Alfonzo
001002130000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Malvinas Argentinas|02-244|PARTIDO LEALTAD Y DIGNIDAD DE LA PROVINCIA DE BUENOS AIRES|001002130000000.02-244.A.001002130000000.02-244|LEALTAD - Roberto Silva
001002130000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Malvinas Argentinas|02-1911|FRENTE NOS|001002130000000.02-1911.A.001002130000000.02-1911|LINEA ÚNICA - Florentin Barrios
001002130000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Malvinas Argentinas|133|FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD|001002130000000.133.A.001002130000000.133|UNIDAD - Maria Guzman
001002130000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Malvinas Argentinas|137|CONSENSO FEDERAL|001002130000000.137.B.001002130000000.137|GENTE PROGRESISTA - Sergio Lucero
001002130000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Malvinas Argentinas|137|CONSENSO FEDERAL|001002130000000.137.A.001002130000000.137|HAY CONSENSO - Labonia Antonio
001002130000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Malvinas Argentinas|79|PARTIDO RENOVADOR FEDERAL|001002130000000.79.A.001002130000000.79|SOMOS RENOVADORES - Osvaldo Berra
001002130000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Malvinas Argentinas|02-276|MOVIMIENTO DE AVANZADA SOCIALISTA|001002130000000.02-276.1A.001002130000000.02-276|UNIDAD DE LA IZQUIERDA - Karen Troncoso
001002130000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Malvinas Argentinas|02-309|MOVIMIENTO ORGANIZACION DEMOCRATICA|001002130000000.02-309.A.001002130000000.02-309|AZUL Y BLANCO - Miguel Sosa
001002131000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Punta Indio|135|JUNTOS POR EL CAMBIO|001002131000000.135.1A.001002131000000.135|1A - AMARILLO - Gerardo Landa
001002131000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Punta Indio|02-503|FRENTE DE TODOS|001002131000000.02-503.2.001002131000000.02-503|CELESTE Y BLANCA - 2 - Hernan Y Zurieta
001002131000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Punta Indio|137|CONSENSO FEDERAL|001002131000000.137.A.001002131000000.137|HAY CONSENSO - Fernando Dupaus
001002132000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Ezeiza|135|JUNTOS POR EL CAMBIO|001002132000000.135.1A.001002132000000.135|1A - AMARILLO - Ruben Barabani
001002132000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Ezeiza|02-503|FRENTE DE TODOS|001002132000000.02-503.14.001002132000000.02-503|CELESTE Y BLANCA - 14 - Alejandro Lopez
001002132000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Ezeiza|02-503|FRENTE DE TODOS|001002132000000.02-503.2.001002132000000.02-503|CELESTE Y BLANCA - 2 - Alejandro Granados
001002132000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Ezeiza|02-816|PARTIDO DIGNIDAD POPULAR|001002132000000.02-816.1A.001002132000000.02-816|POR LA VIDA - Miguel Rodari
001002132000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Ezeiza|02-244|PARTIDO LEALTAD Y DIGNIDAD DE LA PROVINCIA DE BUENOS AIRES|001002132000000.02-244.A.001002132000000.02-244|LEALTAD - Omar Segovia
001002132000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Ezeiza|02-1911|FRENTE NOS|001002132000000.02-1911.A.001002132000000.02-1911|LINEA ÚNICA - Jorge Acuña
001002132000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Ezeiza|02-1911|FRENTE NOS|001002132000000.02-1911.C.001002132000000.02-1911|ALTERNATIVA - Carlos Bottcher
001002132000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Ezeiza|133|FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD|001002132000000.133.A.001002132000000.133|UNIDAD - Néstor Cañete
001002132000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Ezeiza|137|CONSENSO FEDERAL|001002132000000.137.C.001002132000000.137|CONSENSO FEDERAL 2030 - Hector Araujo
001002132000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Ezeiza|137|CONSENSO FEDERAL|001002132000000.137.D.001002132000000.137|GENTE PROGRESISTA - Pablo Lopez
001002132000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Ezeiza|79|PARTIDO RENOVADOR FEDERAL|001002132000000.79.A.001002132000000.79|SOMOS RENOVADORES - Ricardo Chavez
001002132000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Ezeiza|02-276|MOVIMIENTO DE AVANZADA SOCIALISTA|001002132000000.02-276.1A.001002132000000.02-276|UNIDAD DE LA IZQUIERDA - Ramon Maidana
001002132000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Ezeiza|02-309|MOVIMIENTO ORGANIZACION DEMOCRATICA|001002132000000.02-309.A.001002132000000.02-309|AZUL Y BLANCO - Jose Michelena
001002133000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Ituzaingo|135|JUNTOS POR EL CAMBIO|001002133000000.135.1A.001002133000000.135|1A - AMARILLO - Gaston Di Castelnuovo
001002133000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Ituzaingo|02-503|FRENTE DE TODOS|001002133000000.02-503.2.001002133000000.02-503|CELESTE Y BLANCA - 2 - Alberto Descalzo
001002133000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Ituzaingo|02-1911|FRENTE NOS|001002133000000.02-1911.A.001002133000000.02-1911|LINEA ÚNICA - Nadia Cardozo
001002133000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Ituzaingo|133|FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD|001002133000000.133.A.001002133000000.133|UNIDAD - Ruben Maldonado
001002133000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Ituzaingo|137|CONSENSO FEDERAL|001002133000000.137.B.001002133000000.137|CONSENSO FEDERAL 2030 - Sergio Crego
001002133000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Ituzaingo|137|CONSENSO FEDERAL|001002133000000.137.A.001002133000000.137|HAY CONSENSO - Osvaldo Marasco
001002133000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Ituzaingo|137|CONSENSO FEDERAL|001002133000000.137.C.001002133000000.137|GENTE PROGRESISTA - Roberto Altarrui
001002133000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Ituzaingo|02-808|SIEMPRE ITUZAINGO-SI-|001002133000000.02-808.A.001002133000000.02-808|SIEMPRE ITUZAINGO - Norberto Chavanne
001002133000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Ituzaingo|02-276|MOVIMIENTO DE AVANZADA SOCIALISTA|001002133000000.02-276.1A.001002133000000.02-276|UNIDAD DE LA IZQUIERDA - Gonzalo Dopazo
001002133000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Ituzaingo|02-309|MOVIMIENTO ORGANIZACION DEMOCRATICA|001002133000000.02-309.A.001002133000000.02-309|AZUL Y BLANCO - David Jorge
001002133000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Ituzaingo|02-886|A. MUNICIPAL ITUZAINGO POSITIVO|001002133000000.02-886.A.001002133000000.02-886|ITUZAINGO POSITIVO - Sandra Rey
001002134000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Hurlingham|135|JUNTOS POR EL CAMBIO|001002134000000.135.1A.001002134000000.135|1A - AMARILLO - Lucas Delfino
001002134000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Hurlingham|02-503|FRENTE DE TODOS|001002134000000.02-503.2.001002134000000.02-503|CELESTE Y BLANCA - 2 - Juan Zabaleta
001002134000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Hurlingham|02-816|PARTIDO DIGNIDAD POPULAR|001002134000000.02-816.1A.001002134000000.02-816|POR LA VIDA - Edgardo Perez
001002134000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Hurlingham|02-1911|FRENTE NOS|001002134000000.02-1911.A.001002134000000.02-1911|LINEA ÚNICA - Jorge Arguello
001002134000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Hurlingham|133|FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD|001002134000000.133.A.001002134000000.133|UNIDAD - Leandro Chayan
001002134000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Hurlingham|137|CONSENSO FEDERAL|001002134000000.137.A.001002134000000.137|HAY CONSENSO - Rafael de Francesco
001002134000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Hurlingham|02-276|MOVIMIENTO DE AVANZADA SOCIALISTA|001002134000000.02-276.1A.001002134000000.02-276|UNIDAD DE LA IZQUIERDA - Ian Fernandez
001002134000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Hurlingham|02-309|MOVIMIENTO ORGANIZACION DEMOCRATICA|001002134000000.02-309.A.001002134000000.02-309|AZUL Y BLANCO - Jose Ventura
001002135000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Lezama|135|JUNTOS POR EL CAMBIO|001002135000000.135.1A.001002135000000.135|1A - AMARILLO - Arnaldo Harispe
